pertanyaan,label
Bagaimana cara memperbaiki nilai di STIKOM?,13
Apa berita terbaru di kampus STIKOM?,14
Bagaimana cara mengetahui berita kampus STIKOM?,14
Apa informasi terbaru seputar STIKOM 22 Januari?,14
Di mana bisa melihat berita resmi kampus STIKOM?,14
Apa kegiatan terbaru di STIKOM 22 Januari?,14
Bagaimana cara mengakses berita kampus STIKOM?,14
Apa pengumuman terbaru dari kampus STIKOM?,14
Di mana bisa mendapatkan informasi terbaru tentang STIKOM?,14
Apa acara terbaru yang diadakan oleh STIKOM?,14
Bagaimana cara mengetahui update berita kampus?,14
Berita terbaru STIKOM apa?,14
Apa aja sih berita terbaru di STIKOM?,14
Di mana bisa lihat berita STIKOM?,14
Apa aja sih kegiatan terbaru di STIKOM?,14
Bagaimana cara cek berita kampus?,14
Apa aja sih pengumuman terbaru STIKOM?,14
Di mana bisa dapat info terbaru STIKOM?,14
Apa aja sih acara terbaru di STIKOM?,14
Bagaimana cara update berita kampus?,14
Apa aja sih info terbaru STIKOM?,14
Apa alamat lengkap kampus STIKOM?,15
Bagaimana akreditasi kampus STIKOM?,15
Apa program studi yang tersedia di STIKOM?,15
Apa saja fasilitas yang ada di kampus?,15
Apa visi dan misi kampus STIKOM?,15
Apa saja kegiatan akademik di STIKOM?,15
Bagaimana cara menghubungi administrasi kampus?,15
Alamat STIKOM di mana?,15
Apa aja sih prodi di STIKOM?,15
Apa aja sih fasilitas STIKOM?,15
Bagaimana sistem kuliah di STIKOM?,15
Apa aja sih kegiatan akademik STIKOM?,15
Bagaimana cara hubungi admin STIKOM?,15
Apa aja sih info umum STIKOM?,15
Bagaimana cara mendaftar sebagai mahasiswa baru di STIKOM?,16
Apa syarat pendaftaran mahasiswa baru?,16
Di mana saya bisa mendapatkan formulir pendaftaran?,16
Berapa biaya pendaftaran mahasiswa baru?,16
Apa dokumen yang diperlukan untuk pendaftaran?,16
Bagaimana alur pendaftaran mahasiswa baru?,16
Kapan pendaftaran mahasiswa baru dibuka?,16
Apakah ada tes masuk untuk mahasiswa baru?,16
Bagaimana cara mengisi formulir pendaftaran?,16
Di mana saya bisa melihat pengumuman pendaftaran?,16
Cara daftar mahasiswa baru di STIKOM gimana?,16
Apa aja sih syarat pendaftaran?,16
Di mana bisa ambil formulir pendaftaran?,16
Berapa biaya daftar mahasiswa baru?,16
Apa aja sih dokumen yang dibutuhkan?,16
Bagaimana alur pendaftaran?,16
Kapan pendaftaran dibuka?,16
Ada tes masuk nggak?,16
Bagaimana cara isi formulir pendaftaran?,16
Di mana bisa lihat pengumuman pendaftaran?,16
Bagaimana jadwal perkuliahan di STIKOM?,17
Apa kegiatan akademik yang ada di STIKOM?,17
Bagaimana sistem perkuliahan di STIKOM?,17
Apa saja kegiatan yang dilakukan selama perkuliahan?,17
Bagaimana cara mengikuti kegiatan akademik di STIKOM?,17
Apa yang harus dilakukan selama perkuliahan di STIKOM?,17
Bagaimana cara mengetahui jadwal akademik di STIKOM?,17
Apa kegiatan tambahan yang disediakan oleh STIKOM?,17
Bagaimana sistem penilaian di STIKOM?,17
Apa saja kegiatan non-akademik di STIKOM?,17
Jadwal kuliah di STIKOM gimana?,17
Apa aja sih kegiatan selama kuliah?,17
Bagaimana cara ikut kegiatan akademik?,17
Apa yang harus dilakukan selama kuliah?,17
Bagaimana cara cek jadwal akademik?,17
Apa aja sih kegiatan tambahan STIKOM?,17
Bagaimana sistem nilai di STIKOM?,17
Apa aja sih kegiatan non-akademik STIKOM?,17
Bisa pinjam buku di perpustakaan STIKOM nggak?,18
Apa saja yang bisa dipinjam di perpustakaan?,18
Berapa banyak buku yang boleh dipinjam?,18
Pinjam buku di STIKOM susah nggak?,18
Apakah semua buku di perpustakaan bisa dipinjam?,18
Buku apa yang tersedia untuk dipinjam?,18
Mahasiswa baru bisa pinjam buku nggak?,18
Pinjam buku di perpustakaan STIKOM bayar nggak?,18
Ada batasan pinjam buku di STIKOM?,18
Buku di perpustakaan STIKOM lengkap nggak?,18
Pinjam buku itu perlu kartu apa?,18
Bisa pinjam buku untuk semester ini?,18
Perpustakaan STIKOM punya buku digital nggak?,18
Pinjam buku di STIKOM lama nggak?,18
Apa saja koleksi buku yang bisa dipinjam?,18
Mahasiswa boleh pinjam berapa buku sekaligus?,18
Pinjam buku di perpustakaan itu ribet nggak?,18
Ada buku wajib yang bisa dipinjam?,18
Perpustakaan STIKOM izinkan pinjam buku lama nggak?,18
Pinjam buku di STIKOM harus ke mana?,18
apa akreditasi STIKOM saat ini?,19
bagaimana status akreditasi kampus STIKOM?,19
apakah STIKOM sudah terakreditasi A?,19
berapa nilai akreditasi program studi di STIKOM?,19
kapan terakhir kali STIKOM melakukan akreditasi?,19
STIKOM termasuk perguruan tinggi terakreditasi apa?,19
apakah akreditasi STIKOM masih berlaku?,19
dimana bisa cek akreditasi resmi STIKOM?,19
akreditasi prodi di STIKOM seperti apa?,19
berapa lama masa berlaku akreditasi STIKOM?,19
siapa rektor STIKOM sekarang?,20
nama pimpinan tertinggi di STIKOM siapa?,20
siapa yang memimpin STIKOM tahun ini?,20
bisakah kamu beri tahu nama dekan di STIKOM?,20
siapa wakil rektor STIKOM saat ini?,20
ada berapa pimpinan di STIKOM?,20
siapa kepala jurusan di STIKOM?,20
siapa yang bertanggung jawab atas manajemen STIKOM?,20
siapa pemimpin fakultas di STIKOM?,20
bisakah kamu jelaskan struktur pimpinan STIKOM?,20
tolong berikan gambaran struktur organisasi STIKOM.,21
bagaimana susunan manajemen di STIKOM?,21
apakah ada diagram struktur organisasi STIKOM?,21
bisa jelaskan hirarki kepemimpinan di STIKOM?,21
siapa saja yang termasuk dalam struktur organisasi STIKOM?,21
bagaimana pembagian tugas di struktur organisasi STIKOM?,21
dimana saya bisa melihat struktur organisasi STIKOM?,21
apakah struktur organisasi STIKOM tersedia online?,21
siapa yang menjabat di level manajemen STIKOM?,21
bisakah kamu beri detail tentang divisi di STIKOM?,21
siapa kaprodi prodi Sistem Informasi di STIKOM?,22
kaprodi Teknik Informatika STIKOM siapa?,22
siapa yang bertanggung jawab sebagai kaprodi di STIKOM?,22
boleh tahu nama kaprodi di jurusan Komputer STIKOM?,22
siapa kaprodi Manajemen Informatika di STIKOM?,22
kaprodi Akuntansi STIKOM siapa ya?,22
siapa pengelola program studi di STIKOM?,22
kaprodi di STIKOM itu jabatan apa?,22
siapa kaprodi paling senior di STIKOM?,22
bisakah kamu beri info lengkap tentang kaprodi STIKOM?,22
adakah unit kegiatan mahasiswa (UKM) di STIKOM?,23
organisasi kemahasiswaan apa saja yang ada di STIKOM?,23
apakah STIKOM memiliki komunitas atau organisasi kampus?,23
bisakah kamu beri info tentang organisasi internal STIKOM?,23
ada berapa organisasi mahasiswa di STIKOM?,23
organisasi apa yang paling aktif di STIKOM?,23
apakah ada organisasi olahraga di STIKOM?,23
bagaimana cara bergabung dengan organisasi di STIKOM?,23
organisasi seni di STIKOM ada nggak?,23
siapa yang mengelola organisasi mahasiswa di STIKOM?,23
apa saja pencapaian mahasiswa STIKOM?,24
mahasiswa STIKOM pernah menang lomba apa saja?,24
sebutkan beberapa prestasi membanggakan dari mahasiswa STIKOM.,24
kapan terakhir kali mahasiswa STIKOM meraih juara nasional?,24
apa prestasi internasional yang diraih mahasiswa STIKOM?,24
apakah mahasiswa STIKOM sering ikut kompetisi?,24
prestasi apa yang paling terkenal dari STIKOM?,24
siapa mahasiswa STIKOM yang pernah juara umum?,24
apakah ada mahasiswa STIKOM yang mendapat beasiswa prestasi?,24
bisakah kamu beri daftar prestasi mahasiswa STIKOM?,24
dari mana saja asal pendidikan dosen-dosen STIKOM?,25
apakah dosen STIKOM bergelar doktor?,25
bagaimana profil singkat para pengajar di STIKOM?,25
berasal dari universitas mana para dosen STIKOM?,25
apakah dosen STIKOM memiliki pengalaman internasional?,25
siapa dosen paling senior di STIKOM?,25
berapa persen dosen STIKOM yang bergelar profesor?,25
apakah dosen STIKOM aktif dalam penelitian?,25
dosen STIKOM memiliki sertifikasi apa saja?,25
bisakah kamu beri info tentang latar belakang dosen STIKOM?,25
kenapa IPK penting bagi mahasiswa?,26
IPK itu mengacu pada apa ya?,26
apa hubungan IPK dengan kelulusan?,26
bisakah kamu kasih penjelasan sederhana soal IPK?,26
berapa nilai IPK minimal untuk lulus di STIKOM?,26
apakah IPK mempengaruhi karir mahasiswa?,26
bagaimana cara meningkatkan IPK di STIKOM?,26
IPK itu dihitung berdasarkan apa?,26
berapa IPK rata-rata mahasiswa STIKOM?,26
apakah IPK mempengaruhi beasiswa di STIKOM?,26
kenapa KRS harus diisi setiap semester?,27
KRS digunakan untuk apa oleh mahasiswa?,27
apa tujuan pengisian KRS dalam perkuliahan?,27
bagaimana cara kerja sistem KRS di perguruan tinggi?,27
kapan batas waktu pengisian KRS di STIKOM?,27
apakah KRS bisa diubah setelah diisi?,27
siapa yang bertanggung jawab atas KRS mahasiswa?,27
berapa mata kuliah maksimal dalam KRS?,27
apakah ada denda jika telat isi KRS?,27
bisakah kamu beri panduan pengisian KRS di STIKOM?,27
apa bedanya KHS dengan KRS?,28
KHS itu mencatat apa saja?,28
kenapa KHS penting untuk evaluasi akademik?,28
apa fungsi utama KHS bagi mahasiswa?,28
kapan KHS biasanya dikeluarkan di STIKOM?,28
apakah KHS bisa dicetak secara online?,28
siapa yang bertanggung jawab atas KHS mahasiswa?,28
berapa nilai minimum yang harus ada di KHS?,28
apakah KHS mempengaruhi kelulusan?,28
bisakah kamu beri contoh format KHS di STIKOM?,28
apakah ada kelas untuk karyawan?,29
karyawan bisa kuliah di STIKOM tidak?,29
apakah STIKOM menyediakan kelas untuk karyawan?,29
bagaimana cara karyawan kuliah di STIKOM?,29
adakah program kuliah malam untuk pekerja di STIKOM?,29
apakah ada kelas fleksibel untuk profesional di STIKOM?,29
bisakah pekerja paruh waktu mengikuti perkuliahan di STIKOM?,29
apa syarat untuk mengikuti kelas karyawan di STIKOM?,29
kapan jadwal kuliah untuk karyawan di STIKOM?,29
apakah mahasiswa yang tidak bekerja bisa mengambil kelas ekstensi?,30
bisa ikut kelas ekstensi meski tidak bekerja?,30
apakah kelas ekstensi hanya untuk karyawan?,30
mahasiswa biasa boleh ikut kelas ekstensi?,30
apa perbedaan kelas ekstensi dengan kelas reguler?,30
siapa saja yang bisa mendaftar kelas ekstensi di STIKOM?,30
apakah ada batasan usia untuk kelas ekstensi?,30
bagaimana sistem pembelajaran di kelas ekstensi?,30
apakah kelas ekstensi memiliki jadwal yang fleksibel?,30
berapa lama durasi kuliah di kelas ekstensi STIKOM?,30
apa kode etik mahasiswa?,31
bagaimana kode etik untuk mahasiswa?,31
kode etik mahasiswa STIKOM apa saja?,31
apa saja aturan kode etik mahasiswa?,31
kenapa kode etik mahasiswa penting?,31
pelanggaran apa saja yang termasuk melanggar kode etik mahasiswa?,31
bagaimana konsekuensi jika melanggar kode etik mahasiswa?,31
apa poin utama dalam aturan perilaku mahasiswa?,31
dimana bisa membaca kode etik mahasiswa STIKOM?,31
siapa yang menegakkan kode etik mahasiswa di STIKOM?,31
apa kode etik dosen STIKOM?,32
bagaimana kode etik untuk dosen?,32
kode etik dosen STIKOM apa saja?,32
apa saja aturan kode etik dosen?,32
kenapa kode etik dosen penting di STIKOM?,32
apa sanksi jika dosen melanggar kode etiknya?,32
siapa yang mengawasi pelaksanaan kode etik dosen?,32
bagaimana proses penegakan kode etik dosen di STIKOM?,32
dimana bisa membaca kode etik dosen STIKOM?,32
apakah kode etik dosen berlaku untuk semua jenis pengajar?,32
Berapa biaya kuliah STIKOM?,33
berapa total biaya masuk STIKOM?,33
biaya SPP per semester di STIKOM berapa?,33
berapa estimasi biaya hidup selama kuliah di STIKOM?,33
berapa uang pangkal untuk mahasiswa baru di STIKOM?,33
apakah biaya kuliah di STIKOM terjangkau?,33
berapa biaya tambahan selain SPP di STIKOM?,33
apakah ada diskon biaya kuliah di STIKOM?,33
berapa biaya untuk program studi tertentu di STIKOM?,33
dimana bisa cek rincian biaya kuliah di STIKOM?,33
apa saja biaya yang perlu diperhatikan ?,34
"selain SPP, apa saja biaya tambahan di STIKOM?",34
ada biaya lain selain uang kuliah di STIKOM?,34
apa saja pos-pos pengeluaran wajib mahasiswa STIKOM?,34
biaya apa saja yang harus dipersiapkan sebelum kuliah di STIKOM?,34
berapa biaya buku dan alat tulis di STIKOM?,34
apakah ada biaya praktikum di STIKOM?,34
berapa biaya wisuda di STIKOM?,34
apakah ada biaya asrama atau kos di STIKOM?,34
berapa biaya transportasi rata-rata untuk mahasiswa STIKOM?,34
bagaimana cara mengajukan beasiswa di stikom ?,35
syarat mendapatkan beasiswa di STIKOM apa saja?,35
bagaimana prosedur pengajuan beasiswa di STIKOM?,35
kapan periode pendaftaran beasiswa dibuka di STIKOM?,35
jenis beasiswa apa saja yang tersedia di STIKOM?,35
apakah ada beasiswa untuk mahasiswa baru di STIKOM?,35
berapa besar bantuan dari beasiswa di STIKOM?,35
apakah ada beasiswa untuk mahasiswa berprestasi?,35
bagaimana cara mempertahankan beasiswa di STIKOM?,35
dimana bisa mendapatkan informasi lengkap tentang beasiswa STIKOM?,35
 apakah ada program magang yang disediakan oleh kampus ?,36
apakah ada kerjasama magang antara STIKOM dan perusahaan?,36
program magang di STIKOM seperti apa?,36
kapan waktu pelaksanaan magang di STIKOM?,36
apakah semua jurusan di STIKOM menyediakan program magang?,36
berapa lama durasi program magang di STIKOM?,36
apakah magang di STIKOM berbayar?,36
bagaimana cara mendaftar program magang di STIKOM?,36
siapa yang bertanggung jawab atas program magang di STIKOM?,36
apakah ada sertifikat setelah menyelesaikan magang di STIKOM?,36
Bagaimana proses verifikasi dokumen?,37
Apa langkah-langkah verifikasi dokumen?,37
Proses verifikasi dokumen gimana?,37
Cara verifikasi dokumen di STIKOM?,37
Langkah verifikasi dokumen apa saja?,37
Bagaimana cara memverifikasi dokumen?,37
Apa prosedur verifikasi dokumen?,37
Verifikasi dokumen caranya gimana?,37
Dokumen diverifikasi gimana?,37
Langkah2 verifikasi dokumen?,37
